Job title,Url,Company,Location,Summary,Date post,Date,Salary
Junior / middle разработчик(developer) Python\Django,https://ru.indeed.com/rc/clk?jk=b1f5456c8a7bd6bb&fccid=97f05acd89e94207&vjs=3,ТО ЦИТ,Тула,"Разработки на Python (используем Python 3.6 и 3.7);
Опыт работы с MQ, желательно RabbitMQ;
Внимательность к мелочам и деталям;",Сегодня,2020-12-12,
Junior Analyst,https://ru.indeed.com/rc/clk?jk=bf233dccd9031c00&fccid=cc421cd5a993052b&vjs=3,RIDEX,Новосибирск,"Мы – крупный производитель автозапчастей премиального качества.
Наша компания входит в группу компаний онлайн-ритейлера автозапчастей #1 в Европе с головным…",Сегодня,2020-12-12,
Инженер по автоматическому тестированию на Python (junior/middle),https://ru.indeed.com/rc/clk?jk=6b0ff852484d2e46&fccid=429212dcb4d396bc&vjs=3,Auriga,Нижний Новгород,"Аурига ищет инженера по автоматизации тестирования (junior/middle), который поможет протестировать новую функциональность.
Что мы ждем от вас:","1 день
 назад",2020-12-12,
Младший Python разработчик / Junior Python Developer (Back-end),https://ru.indeed.com/rc/clk?jk=eeff947b795512a1&fccid=52ef9dce707f6bd0&vjs=3,Доктор Веб,Санкт-Петербург,"«Доктор Веб» занимается разработкой решений в сфере информационной безопасности.
Наша цель — создавать лучшие средства антивирусной защиты, отвечающие всем…",Более 30 дн. назад,2020-12-12,
Junior Operations Manager - Russia,https://ru.indeed.com/rc/clk?jk=f926e0b9a81e0e76&fccid=1c00ce6833fa8f3d&vjs=3,Revolut,Москва,"The team sits at the core of Revolut, working with departments across the business to help solve issues and create effective, scalable solutions.","7 дней
 назад",2020-12-12,
Junior QA Engineer Auto,https://ru.indeed.com/rc/clk?jk=ca4d812ac5ef0f3e&fccid=4b841d912d46e4fd&vjs=3,Luxoft,Омск,"Мы ищем специалистов для развития облачной цифровой платформы (аналог AWS, Azure).
Платформа имеет унифицированную архитектуру (набор IaaS, PaaS и SaaS сервисов…","1 день
 назад",2020-12-12,
Full-Stack Developer (Junior),https://ru.indeed.com/rc/clk?jk=1026e1abce01388a&fccid=1e7800f8a76b951e&vjs=3,Компания РЭДИ,Нижний Новгород,"Наш клиент – многопрофильная компания, которая существует на рынке уже 18 лет.
В IT-департаменте сейчас существует два направления: первое — разработка и…","22 дня
 назад",2020-12-12,45 000 - 80 000 руб. в месяц
Junior Software Developer,https://ru.indeed.com/rc/clk?jk=2975c47c4ae11c4c&fccid=82059ea5c2a82405&vjs=3,IPONWEB,Москва,"Global leader of AdTech industry - IPONWEB - is looking for Junior Software Engineers to develop highload RTB systems, using our own platform, based on open…",Более 30 дн. назад,2020-12-12,
С++ junior developer,https://ru.indeed.com/rc/clk?jk=b73f740d152b679e&fccid=cc53036a157dcc6b&vjs=3,MegaLabs,Москва,"Немного знаешь python или go (как плюс).
Участие в проектировании сложных/высоконагруженных систем;
Участие в создании гибкого процесса деплоя;",Более 30 дн. назад,2020-12-12,
Data Scientist (Junior),https://ru.indeed.com/rc/clk?jk=4a9b890b5e130a70&fccid=c56b93ed85013f89&vjs=3,МАГНИТ,Краснодар,Функционал Разработка алгоритмов ML & DL для решения реальных бизнес задач; доведение алгоритмов до запуска в боевых условиях; анализ результатов запуска и…,"9 дней
 назад",2020-12-12,
System developer/ С++ (middle/junior),https://ru.indeed.com/rc/clk?jk=7a2456f5d9ea03e4&fccid=891a255241a14b2b&vjs=3,GETMOBIT,Москва,"Компания «GETMOBIT» ищет хорошего специалиста на вакансию «System developer/ С++ (middle/junior)».
Требуемые навыки: #software, #middle, #C++, #Python, #Linux, …","8 дней
 назад",2020-12-12,170 000 руб. в месяц
Junior / Middle Backend-разработчик,https://ru.indeed.com/rc/clk?jk=1af01fea6082fc8c&fccid=1318553eb9956aeb&vjs=3,Вольтс бэтэри,Санкт-Петербург,"Языки серверного программирования Php, Ruby, Python или другие.
MySql, основы работы с базой данных.
Основы сетевой безопасности и знание инструментов её…",Более 30 дн. назад,2020-12-12,
Junior iOS/Android разработчик,https://ru.indeed.com/rc/clk?jk=3a66cbb43a728681&fccid=b15c86eaef722380&vjs=3,Motmom,Пенза,"Опыт разработки Android- и/или Java-приложений;
Отличное знание Java, ООП, клиент-серверного взаимодействия;
Опыт работы с базами данных.",Более 30 дн. назад,2020-12-12,
Junior Data Analyst,https://ru.indeed.com/rc/clk?jk=b41c5d36b6ae54e8&fccid=c03f543fb1091efb&vjs=3,Playrix,Ростов-на-Дону,"Playrix — крупнейшая игровая компания в СНГ.
Мы входим в ТОП-3 самых успешных мобильных издателей мира.
В наши проекты ежемесячно играют более 100 миллионов…","9 дней
 назад",2020-12-12,
Младший инженер DevOps / Junior DevOps Engineer,https://ru.indeed.com/rc/clk?jk=12d37c1a4940bf1b&fccid=52ef9dce707f6bd0&vjs=3,Доктор Веб,Санкт-Петербург,"«Доктор Веб» создает антивирусные решения для различных операционных систем и мобильных платформ, для домашнего использования и для централизованной защиты…",Более 30 дн. назад,2020-12-12,
