Job title,Url,Company,Location,Tech Info,Date post,Date,Salary/Kind of work
Software Entwickler (Python/C++),https://ru.indeed.com//jobs/453526/software-entwickler-python-c-plus-plus-jc-development-ag,JC Development AG,"Glarus, Switzerland","
c++pythonc#
",19d ago,2020-12-15,6 6 k – 1 0 8 k
Backend Developer – Python/Django,https://ru.indeed.com//jobs/443603/backend-developer-python-django-5-monkeys-agency-ab,5 Monkeys Agency AB,"Göteborg, Sweden","
pythondjangodockernginxlinux
",13d ago,2020-12-15,
Python/Django Software Developer (m/f/d),https://ru.indeed.com//jobs/361172/python-django-software-developer-m-f-d-climatepartner,ClimatePartner,"München, Deutschland","
djangopythonreactjs
",11d ago,2020-12-15,
Python Software Engineer (40h/wk),https://ru.indeed.com//jobs/458136/python-software-engineer-40h-wk-channable,Channable,"Utrecht, Netherlands","
pythonpostgresqlflasksql
",3d ago,2020-12-15,
Backend Developer – Python/Django,https://ru.indeed.com//jobs/443604/backend-developer-python-django-5-monkeys-agency-ab,5 Monkeys Agency AB,"Stockholm, Sweden","
pythondjangodockernginxlinux
",13d ago,2020-12-15,
Python Software Engineer (40h/wk),https://ru.indeed.com//jobs/265091/python-software-engineer-40h-wk-channable,Channable,"Utrecht, Netherlands","
pythonpostgresqlflasksql
",15d ago,2020-12-15,
"PYTHON DEVELOPER Location: Zürich, Zurich, Switzerland",https://ru.indeed.com//jobs/465684/python-developer-location-z%C3%BCrich-zurich-felfel,FELFEL,"Zürich, Switzerland","
pythondjangodockerormsqlalchemy
",13d ago,2020-12-15,
(Senior) Python Developer Backend – Billing / Product,https://ru.indeed.com//jobs/359016/senior-python-developer-backend-billing-lumenaza-gmbh,Lumenaza GmbH,"Berlin, Deutschland","
djangopython
",8d ago,2020-12-15,
Python Developer (Backend),https://ru.indeed.com//jobs/165665/python-developer-backend-energyworx,Energyworx,"Houten, Netherlands","
pythonsaasgoogle-cloud-platformgoogle-bigquerymysql
",26d ago,2020-12-15,r e m o t e
Python Backend Developer / Data Engineer (m/f/d) for Geo Applications (Munich),https://ru.indeed.com//jobs/407481/python-backend-developer-data-engineer-m-f-d-gaf-ag,GAF AG,"München, Deutschland","
pythonkubernetesjenkinsdocker
",16d ago,2020-12-15,r e s p o n s e
Developer (Python OR JavaScript),https://ru.indeed.com//jobs/167359/developer-python-or-javascript-odoo,Odoo,"Ramillies, Belgium","
pythonjavascriptlinuxgithub
",10d ago,2020-12-15,
Full Stack Software Engineer: Java / Python (m/f/d),https://ru.indeed.com//jobs/376524/full-stack-software-engineer-java-python-m-f-creditshelf,creditshelf,"Berlin, Deutschland","
pythonjavac#nosql
",6d ago,2020-12-15,
Software Engineer (Python Data Stack) (m/f/d),https://ru.indeed.com//jobs/349976/software-engineer-python-data-stack-m-f-d-quantco,QuantCo,"Karlsruhe, Germany","
pythonpandasnumpycondascikit-learn
",11d ago,2020-12-15,r e l o c a t i o n
PhD Graduate Software Developer,https://ru.indeed.com//jobs/456581/phd-graduate-software-developer-finbourne-technology,FINBOURNE Technology,"London, UK","
dockerc#pythongo
",9d ago,2020-12-15,
Python/C++ DevOps Engineer,https://ru.indeed.com//jobs/441796/python-c-plus-plus-devops-engineer-adlares-gmbh,ADLARES GmbH,"Teltow, Deutschland","
pythongissqlqtc++
",15d ago,2020-12-15,r e m o t e
"Outreach Officer (Python, Perl or R)",https://ru.indeed.com//jobs/454738/outreach-officer-python-perl-or-r-european-bioinformatics,European Bioinformatics Institute (EMBL-EBI),"Hinxton, UK","
perlrpythonapi-designlinux
",17d ago,2020-12-15,r e l o c a t i o n
Junior C++ Developer,https://ru.indeed.com//jobs/463025/junior-c-plus-plus-developer-all-options,All Options,"Amsterdam, Netherlands","
c++pythonboostredismongodb
",20d ago,2020-12-15,
Junior Cloud Backend Developer,https://ru.indeed.com//jobs/451422/junior-cloud-backend-developer-incentro,Incentro,"Utrecht, Netherlands","
cloudjavapythongoogle-cloud-platform
",24d ago,2020-12-15,
Junior/Mid-level Full Stack Developer,https://ru.indeed.com//jobs/283801/junior-mid-level-full-stack-developer-macquarie-bank,"Macquarie Bank
                        via
Hays PLC","London, UK","
python.netreactjsc#sql
",20d ago,2020-12-15,
"Junior System Engineer Linux (m/w), 80-100 %",https://ru.indeed.com//jobs/457654/junior-system-engineer-linux-m-w-80-100-concordia,CONCORDIA,"Luzern, Schweiz","
pythonlinuxrhelweblogicjbosssysadmin
",4d ago,2020-12-15,
(Junior) Analytics Expert (m/f/d),https://ru.indeed.com//jobs/432530/junior-analytics-expert-m-f-d-fresenius-se-co-kgaa,Fresenius SE & Co. KGaA,"Bad Homburg vor der Höhe, Deutschland","
rd3.jspythonsqlsap-analytics-cloud
",9d ago,2020-12-15,
Junior Full-Stack Web Developer,https://ru.indeed.com//jobs/441760/junior-full-stack-web-developer-utalk,uTalk,"London, UK","
phpmysqljavascriptjqueryhtml
",15d ago,2020-12-15,L i m i t e d
Junior Systems Engineer (m/w/d),https://ru.indeed.com//jobs/462629/junior-systems-engineer-m-w-d-adnymics-gmbh,adnymics GmbH,"München, Germany","
sqllinuxbashpythonpython-3.xsysadmin
",20d ago,2020-12-15,
Enthusiastic developers for small informal software company,https://ru.indeed.com//jobs/119562/enthusiastic-developers-for-small-informal-black-cow-technology,Black Cow Technology,"Oxford, UK","
pythonpostgresqljavascriptgraphql
",10d ago,2020-12-15,
Junior DevOps*,https://ru.indeed.com//jobs/393268/junior-devops-anarcon-gmbh,anarcon GmbH,"München, Deutschland","
openstacklinuxansibledockeramazon-web-services
",5h ago,2020-12-15,r e m o t e
